english,russian
first,первый
very,очень
over,над
now,сейчас
could,мог
after,после
even,даже
because,потому что
us,нас
said,сказал
good,хороший
way,способ
two,два
should,должен
work,работа
use,использовать
through,через
see,видеть
know,знать
did,делал
much,много
where,где
years,годы
need,нуждаться
him,ему
back,назад
such,такой
those,те
being,существование
day,день
take,брать
while,пока
here,здесь
before,до
does,делает
great,большой
year,год
go,идти
help,помощь
want,хотеть
really,Действительно
think,думать
best,лучший
life,жизнь
each,каждый
made,сделал
right,верно
world,мир
business,бизнес
home,дом
own,собственный
down,вниз
still,все еще
used,использовал
find,находить
around,вокруг
going,идущий
every,каждый
both,оба
last,последний
off,выключенный
too,слишком
same,такой же
information,информация
little,маленький
another,другой
look,смотреть
few,немного
long,длинный
part,часть
since,с
things,вещи
place,место
am,являюсь
between,между
during,в течение
different,другой
must,должен
come,приходить
using,с использованием
however,однако
without,без
high,высокий
why,почему
something,что-нибудь
online,В сети
system,система
better,лучше
three,три
never,никогда
always,всегда
love,любовь
say,сказать
might,мощь
next,следующий
company,компания
state,состояние
number,число
again,снова
free,бесплатно
lot,много
under,под
family,семья
found,найденный
within,в пределах
give,давать
set,набор
school,школа
important,важный
water,вода
able,способный
keep,держать
got,получил
sure,конечно
end,конец
money,деньги
service,услуга
small,маленький
put,помещать
experience,опыт
having,имея
once,один раз
available,доступный
health,здоровье
support,поддерживать
often,часто
including,включая
days,дни
away,прочь
old,старый
area,область
feel,чувствовать
read,читать
show,показывать
big,большой
against,против
thing,вещь
order,заказ
program,программа
though,хотя
city,город
group,группа
services,услуги
site,сайт
making,изготовление
course,курс
point,точка
children,дети
times,времена
team,команда
game,игра
along,вдоль
let,позволять
house,дом
today,сегодня
body,тело
working,работающий
case,случай
man,мужчина
real,настоящий
provide,предоставлять
care,Забота
public,публичный
top,вершина
looking,смотрящий
several,несколько
start,начинать
less,меньше
process,процесс
become,становиться
actually,на самом деле
local,местный
together,вместе
person,человек
change,изменять
book,книга
enough,достаточно
getting,получающий
week,неделя
power,власть
until,до
market,рынок
fact,факт
god,бог
food,еда
students,студенты
full,полный
women,женщины
community,сообщество
name,имя
second,второй
data,данные
government,правительство
says,говорит
others,другие
ever,всегда
yet,еще
research,исследовать
done,сделанный
left,левый
far,далеко
large,большой
called,называется
doing,делает
already,уже
development,разработка
social,Социальное
open,открыть
possible,возможный
side,сторона
play,играть
means,означает
needs,потребности
try,пытаться
came,пришел
ca,Калифорния
based,основанный на
hard,жесткий
thought,мысль
products,продукты
national,национальный
quality,качество
level,уровень
live,жить
design,дизайн
makes,производит
project,проект
line,линия
night,ночь
least,наименее
whether,ли
job,работа
car,машина
example,пример
include,включать
following,следующий
given,данный
website,Веб-сайт
past,прошлое
plan,план
offer,предложение
buy,купить
call,вызов
went,шел
simply,просто
hand,рука
music,музыка
easy,легкий
problem,проблема
men,Мужчины
country,страна
took,взял
four,четыре
members,члены
form,форма
personal,личный
control,контроль
energy,энергия
room,комната
head,голова
pay,платить
create,создавать
run,бегать
kind,добрый
credit,кредит
almost,почти
believe,полагать
quite,довольно
mind,разум
law,закон
early,рано
comes,приходит
states,состояния
usually,обычно
companies,Компании
web,веб -
taking,принимающий
started,начал
later,позже
although,хотя
story,история
per,перемещение
future,будущее
known,известен
someone,кто-то
across,через
rather,скорее
young,молодой
whole,весь
special,особенный
everything,все
months,месяцы
anything,что-либо
training,обучение
url,URL
bit,кусочек
seen,видимый
product,продукт
american,американец
please,пожалуйста
management,управление
cost,расходы
either,или
light,свет
university,Университет
face,лицо
due,должный
nothing,ничего
human,человек
event,событие
history,история
probably,вероятно
friends,друзья
learn,учиться
current,текущий
tell,рассказывать
general,общий
price,цена
list,список
type,тип
building,здание
industry,промышленность
bad,плохой
check,проверять
everyone,каждый
office,офис
idea,идея
internet,Интернет
news,Новости
million,миллион
video,видео
among,среди
air,воздух
especially,особенно
told,сказал
results,Результаты
post,почта
hours,часы
international,Международный
center,центр
understand,понимать
above,выше
addition,добавление
major,главный
education,образование
white,белый
particular,особый
problems,проблемы
media,СМИ
according,согласно
upon,на
page,страница
continue,продолжать
black,черный
study,изучать
issues,проблемы
inside,внутри
technology,технологии
five,пять
value,ценить
further,дальше
access,доступ
reason,причина
short,короткий
TRUE,истинный
simple,простой
natural,естественный
amount,количество
search,поиск
result,результат
taken,взятый
main,основной
heart,сердце
space,космос
financial,Финансовый
ago,назад
trying,пытающийся
question,вопрос
living,жизнь
likely,вероятный
interest,интерес
various,различный
insurance,страхование
common,общий
move,двигаться
child,ребенок
yourself,сам
report,отчет
certain,определенный
share,делиться
single,одинокий
close,закрывать
instead,вместо
bring,приносить
works,работает
age,возраст
season,время года
hope,надеяться
coming,приходящий
areas,районы
ask,просить
medical,медицинский
low,низкий
games,игры
turn,повернуть
key,ключ
party,вечеринка
add,добавлять
month,месяц
seems,кажется
view,вид
fun,веселье
matter,иметь значение
words,слова
needed,нужный
